force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),seconds,,,
11.09197328,1.915258789,3.803601074,-8.738293457,7.551574707,-6.237792969,3.834533691,0,,,
10.22614414,1.785461426,2.53972168,-9.19407959,0.245666504,-3.076171875,-4.699707031,1,,,
8.14347405,0.09510498,2.844775391,-9.100769043,-5.960083008,-22.65472412,-6.47277832,2,,,
8.728493738,-0.543713379,1.063500977,-9.604406738,11.27929688,-6.793212891,-4.411315918,3,,,
6.107605538,-0.875085449,2.34831543,-8.692236328,4.187011719,-5.276489258,-3.375244141,4,,,
5.756593725,-1.322497559,2.090515137,-9.364550781,1.570129395,-7.508850098,-4.945373535,5,,,
8.845497675,-2.528955078,0.501245117,-9.110339355,-21.4263916,-8.876037598,10.25390625,6,,,
10.31974729,-2.69942627,1.897314453,-9.50690918,31.18896484,-9.463500977,-11.11907959,7,,,
8.354081138,-1.608410645,2.496057129,-9.362158203,1.676940918,-15.7333374,-8.000183105,8,,,
6.505418925,-2.434448242,2.967993164,-8.97755127,3.813171387,-14.63317871,-3.311157227,9,,,
7.090438613,-2.18861084,2.760437012,-8.856726074,2.745056152,-0.50201416,-5.383300781,10,,,
7.441450425,-1.970288086,2.121618652,-9.027197266,2.905273438,-2.745056152,-2.339172363,11,,,
10.41335044,-1.833911133,1.591064453,-9.386083984,3.086853027,-7.284545898,-2.531433105,12,,,
10.13254099,-1.097595215,1.280627441,-9.101367188,-12.87078857,-9.43145752,-0.480651855,13,,,
5.077970888,-0.040075684,1.186120605,-9.491357422,13.09509277,-14.80407715,-4.454040527,14,,,
13.24484573,1.526464844,2.507421875,-8.835192871,6.579589844,2.264404297,-3.717041016,15,,,
16.40395204,4.502832031,2.077355957,-9.002075195,-4.64630127,-10.84136963,3.695678711,16,,,
28.85317099,4.595544434,2.149731445,-8.797509766,6.889343262,-18.4677124,-3.471374512,17,,,
24.99204105,3.013452148,1.670019531,-8.563037109,-2.467346191,-12.3046875,-3.353881836,18,,,
25.95147334,2.789147949,2.73112793,-9.274230957,2.093505859,-0.416564941,-3.129577637,19,,,
25.81106861,2.059411621,2.824438477,-8.860913086,2.894592285,-9.548950195,-1.666259766,20,,,
24.10281113,1.28840332,3.402844238,-9.630126953,-0.245666504,0.587463379,0.256347656,21,,,
21.62232765,0.30625,0.925927734,-9.683959961,-5.522155762,-7.679748535,-9.121704102,22,,,
25.17924735,0.870898438,2.034289551,-8.880053711,13.40484619,9.666442871,-5.14831543,23,,,
13.94686935,0.79732666,2.311230469,-8.795715332,-3.364562988,15.42358398,4.454040527,24,,,
13.90006778,0.212341309,1.808190918,-9.156396484,-5.308532715,5.725097656,-6.51550293,25,,,
25.48345759,1.555773926,3.002685547,-8.458959961,5.778503418,-16.4276123,3.044128418,26,,,
20.35868513,1.11673584,2.879467773,-8.819641113,12.67852783,-0.704956055,-8.822631836,27,,,
22.6519623,1.215429688,3.000891113,-9.316101074,-11.75994873,-7.305908203,-7.914733887,28,,,
34.93737574,1.688562012,1.845275879,-10.02550049,29.1809082,-12.95623779,0.010681152,29,,,
22.67536309,1.138867188,1.75435791,-9.620556641,17.28210449,6.632995605,-10.41412354,30,,,
36.55203008,1.210046387,2.212536621,-9.393859863,-6.526184082,-5.564880371,-6.205749512,31,,,
32.0122773,0.133984375,2.624060059,-9.167163086,-2.958679199,-17.98706055,1.00402832,32,,,
25.97487413,0.480310059,3.380114746,-8.949438477,17.33551025,-8.950805664,0.576782227,33,,,
29.92960721,1.283618164,2.716174316,-9.110339355,1.04675293,1.420593262,-5.393981934,34,,,
28.89997256,1.393676758,2.432055664,-9.265856934,6.568908691,-14.28070068,-9.655761719,35,,,
21.94993868,0.456982422,2.281921387,-9.683959961,-2.55279541,-4.742431641,-0.288391113,36,,,
26.53649303,0.948059082,2.147937012,-9.466833496,5.522155762,-9.239196777,-0.726318359,37,,,
31.16984895,0.270361328,2.36027832,-9.30234375,-0.480651855,-18.10455322,-3.257751465,38,,,
34.72676865,0.442626953,3.229980469,-8.787341309,21.44775391,15.22064209,-2.307128906,39,,,
25.62386231,1.680786133,2.609106445,-9.197668457,-0.021362305,-5.682373047,-2.381896973,40,,,
33.43972534,2.399755859,2.91595459,-9.095385742,0.213623047,-0.427246094,-10.63842773,41,,,
